"Комментарий","Путь","ГТ","Т","Трейлер","П","Постеры","М","Наименование","С","З","О","!","Контрагент","Дата публикации"
"","","","","","","","O","СТРОКА ФОРМАТИРОВАНИЯ","","","","","","01.06.2022"
"","","","","","","","","ИЮНЬ 2024","","","","","",""
"","","","","","","","","01.06.2024","","","","","",""
"готовит Женя","\\nas\ROOT\EDIT\24_06_01\","к","g","Саша","п","Катя","O","Спаркл: История единорога","g","g","v","","Веста","01.06.2024"
"готовит Женя","\\nas\ROOT\EDIT\24_06_01\","к","g","Саша","п","Катя","O","Обитель лжи","п","g","v","","Веста","01.06.2024"
"готовит Женя","\\nas\ROOT\EDIT\24_06_01\","к","g","Саша","п","Катя","O","Жить своей жизнью","п","g","v","","Веста","01.06.2024"
"готовит Женя","\\nas\ROOT\EDIT\24_06_01\","к","g","Саша","п","СашаР","O","Бугимен. Царство мёртвых","п","g","v","","Веста","01.06.2024"
"готовит Женя","\\nas\ROOT\EDIT\24_06_01\","к","g","Саша","п","СашаР","O","Водопад смерти","g","g","v","","Веста","01.06.2024"
"готовит Женя","\\nas\ROOT\EDIT\24_06_01\","","g","Женя","п","СашаР","O","Ада","g","g","v","","Веста","01.06.2024"
"готовит Женя","\\nas\ROOT\EDIT\24_06_01\","к","g","Саша","п","СашаР","O","Кунг-фу жеребец","g","g","v","","Веста","01.06.2024"
"готовит Саша, 2022","\\nas\ROOT\EDIT\24_06_01\","к","g","Саша","п","СашаР","O","Горизонт в огне","g","g","v","","Веста","01.06.2024"
"готовит Саша, 2021","\\nas\ROOT\EDIT\24_06_01\","к","g","Саша","п","СашаР","O","Дикие кошки","g","g","v","","Веста","01.06.2024"
"готовит Женя, 2022","\\nas\ROOT\EDIT\24_06_01\","к","g","Саша","п","СашаР","O","Дитя тьмы","g","g","v","","Веста","01.06.2024"
"готовит Женя","\\nas\ROOT\EDIT\24_06_01\","к","g","Саша","п","СашаР","O","Путешественница во времени","g","g","v","","Веста","01.06.2024"
"готовит Саша, 2024","\\nas\ROOT\EDIT\24_06_01\","к","g","Саша","п","Катя","O","Материнский инстинкт","g","g","v","","Volga film","01.06.2024"
"готовит Саша, 2024","\\nas\ROOT\EDIT\24_06_01\","","","","","","O","Материнский инстинкт 4K","g","g","v","","Volga film","01.06.2024"
"","","","","","","","","02.06.2024","","","","","",""
"готовит Женя","\\nas\ROOT\EDIT\24_06_02\","к","g","Женя","g","Катя","O","Я не киллер","g","g","v","","Paradise","02.06.2024"
"готовит Саша, 2023","\\nas\ROOT\EDIT\24_06_02\","к","g","Саша","п","СашаР","O","Остров изгоев","g","п","v","","Global Film","02.06.2024"
"готовит Женя","\\nas\ROOT\EDIT\24_06_02\","к","g","Женя","g","СашаР","O","Одержимые злом","g","п","v","","Арна Медиа","02.06.2024"
"готовит Женя","\\nas\ROOT\EDIT\24_06_02\","к","g","Женя","g","СашаР","O","Паутина страха","g","п","v","","Арна Медиа","02.06.2024"
"","","","","","","","","04.06.2024","","","","","",""
"русский звук не родной - может не подойти, готовит Женя","\\nas\ROOT\EDIT\24_06_04\","к","g","Женя","g","СашаР","O","Любовь по вызову","g","п","v","","Арна Медиа","04.06.2024"
"готовит Женя","\\nas\ROOT\EDIT\24_06_04\","к","g","Женя","g","СашаР","O","Мой худший сосед","g","п","v","","Арна Медиа","04.06.2024"
"","","","","","","","","06.06.2024","","","","","",""
"готовит Женя","\\nas\ROOT\EDIT\24_06_06\","к","g","Женя","п","Катя","O","Строго конфиденциально","g","п","v","","Paradise","06.06.2024"
